Driver,Team,Q1,Q2,Q3,Start,Finish,Track,Rain,D_Elo,T_Elo,Race_Id
leclerc,sauber,64.967,64.979,nan,18.0,9.0,Austrian Grand Prix,False,1227.96,1849.62,8
ericsson,sauber,65.479,nan,nan,20.0,10.0,Austrian Grand Prix,False,1244.08,1856.15,8
gasly,toro_rosso,65.011,64.874,nan,12.0,11.0,Austrian Grand Prix,False,1200.78,1844.09,8
sainz,renault,64.948,64.561,64.725,9.0,12.0,Austrian Grand Prix,False,1222.79,1891.88,8
sirotkin,williams,65.322,nan,nan,17.0,13.0,Austrian Grand Prix,False,1204.61,1822.22,8
stroll,williams,65.264,65.286,nan,14.0,14.0,Austrian Grand Prix,False,1216.18,1822.69,8
vandoorne,mclaren,65.271,nan,nan,15.0,15.0,Austrian Grand Prix,False,1218.78,1859.49,8
hamilton,mercedes,64.08,63.577,63.149,2.0,nan,Austrian Grand Prix,False,1318.57,2011.87,8
brendon_hartley,toro_rosso,65.366,nan,nan,19.0,nan,Austrian Grand Prix,False,1198.13,1842.41,8
ricciardo,red_bull,64.723,64.403,63.996,7.0,nan,Austrian Grand Prix,False,1265.33,1931.23,8
bottas,mercedes,64.175,63.756,63.13,1.0,nan,Austrian Grand Prix,False,1234.5,1998.55,8
hulkenberg,renault,64.864,64.676,65.019,10.0,nan,Austrian Grand Prix,False,1222.53,1884.38,8
vettel,ferrari,86.585,86.372,85.936,2.0,1.0,British Grand Prix,False,1308.88,1952.25,9
hamilton,mercedes,86.818,86.256,85.892,1.0,2.0,British Grand Prix,False,1319.75,1999.44,9
raikkonen,ferrari,87.549,86.483,85.99,3.0,3.0,British Grand Prix,False,1294.53,1953.17,9
bottas,mercedes,87.025,86.413,86.217,4.0,4.0,British Grand Prix,False,1235.36,2000.08,9
ricciardo,red_bull,87.979,87.369,87.099,6.0,5.0,British Grand Prix,False,1266.81,1932.34,9
hulkenberg,renault,88.017,87.901,nan,11.0,6.0,British Grand Prix,False,1228.41,1888.79,9
ocon,force_india,88.279,87.843,88.194,10.0,7.0,British Grand Prix,False,1209.07,1885.55,9
alonso,mclaren,88.187,88.139,nan,13.0,8.0,British Grand Prix,False,1320.66,1863.96,9
kevin_magnussen,haas,88.143,87.73,87.244,7.0,9.0,British Grand Prix,False,1238.52,1858.23,9
perez,force_india,88.21,87.928,nan,12.0,10.0,British Grand Prix,False,1233.21,1887.64,9
vandoorne,mclaren,89.096,nan,nan,17.0,11.0,British Grand Prix,False,1224.93,1868.57,9
stroll,williams,nan,nan,nan,19.0,12.0,British Grand Prix,False,1222.36,1827.33,9
gasly,toro_rosso,88.399,88.343,nan,14.0,13.0,British Grand Prix,False,1202.45,1843.67,9
sirotkin,williams,89.252,nan,nan,18.0,14.0,British Grand Prix,False,1208.19,1830.01,9
max_verstappen,red_bull,87.309,87.013,86.602,5.0,nan,British Grand Prix,False,1267.77,1920.94,9
grosjean,haas,88.086,87.522,87.455,8.0,nan,British Grand Prix,False,1199.71,1858.23,9
sainz,renault,88.456,nan,nan,16.0,nan,British Grand Prix,False,1218.77,1888.79,9
ericsson,sauber,88.249,88.391,nan,15.0,nan,British Grand Prix,False,1239.27,1856.15,9
leclerc,sauber,87.962,87.79,87.879,9.0,nan,British Grand Prix,False,1227.96,1856.15,9
brendon_hartley,toro_rosso,nan,nan,nan,0.0,nan,British Grand Prix,False,1198.13,1830.03,9
hamilton,mercedes,73.012,nan,nan,14.0,1.0,German Grand Prix,True,1336.92,2012.95,10
bottas,mercedes,72.962,72.152,71.416,2.0,2.0,German Grand Prix,True,1237.38,2014.47,10
raikkonen,ferrari,72.505,72.336,71.547,3.0,3.0,German Grand Prix,True,1296.0,1954.27,10
max_verstappen,red_bull,73.127,72.188,71.822,4.0,4.0,German Grand Prix,True,1268.8,1921.71,10
hulkenberg,renault,73.479,72.946,72.56,7.0,5.0,German Grand Prix,True,1231.37,1891.01,10
grosjean,haas,72.986,72.722,72.544,6.0,6.0,German Grand Prix,True,1200.23,1858.62,10
perez,force_india,73.427,73.072,72.774,10.0,7.0,German Grand Prix,True,1237.63,1890.96,10
ocon,force_india,73.72,nan,nan,15.0,8.0,German Grand Prix,True,1218.46,1898.0,10
ericsson,sauber,73.562,73.736,nan,13.0,9.0,German Grand Prix,True,1245.15,1860.56,10
brendon_hartley,toro_rosso,74.045,nan,nan,17.0,10.0,German Grand Prix,True,1206.77,1836.51,10
kevin_magnussen,haas,73.105,72.523,72.2,5.0,11.0,German Grand Prix,True,1231.65,1853.47,10
